interaction_id,member_id,content_id,interaction_date,interaction_type,session_context,engagement_depth
CI-000909,JL-0035,CNT-010,2026-03-07,Save,Unknown,5
CI-000910,JL-0035,CNT-004,2026-06-03,View,Morning,4
CI-000911,JL-0035,CNT-006,2026-05-01,Complete,Evening,3
CI-000912,JL-0035,CNT-004,2026-02-08,View,Morning,5
CI-000913,JL-0035,CNT-008,2026-05-14,Share,Evening,5
CI-000914,JL-0035,CNT-006,2026-06-07,View,Morning,3
CI-000915,JL-0035,CNT-002,2026-03-11,View,Weekend,2
CI-000916,JL-0035,CNT-009,2026-03-24,View,Evening,3
CI-000917,JL-0035,CNT-004,2026-02-12,Complete,Unknown,3
CI-000918,JL-0035,CNT-005,2026-05-27,View,Weekend,5
CI-000919,JL-0036,CNT-003,2026-03-02,View,Midday,3
CI-000920,JL-0036,CNT-001,2026-04-02,Dismiss,Midday,2
CI-000921,JL-0036,CNT-001,2026-03-10,Save,Unknown,2
CI-000922,JL-0036,CNT-001,2026-04-01,View,Unknown,2
CI-000923,JL-0036,CNT-007,2026-02-19,Share,Evening,4
CI-000924,JL-0036,CNT-008,2026-05-05,View,Midday,4
CI-000925,JL-0036,CNT-009,2026-03-31,Dismiss,Unknown,3
CI-000926,JL-0036,CNT-001,2026-06-07,Complete,Evening,2
CI-000927,JL-0036,CNT-003,2026-04-17,Save,Midday,3
CI-000928,JL-0036,CNT-007,2026-05-28,Save,Weekend,1
CI-000929,JL-0036,CNT-003,2026-02-13,Complete,Midday,2
CI-000930,JL-0036,CNT-003,2026-03-01,Share,Weekend,1
CI-000931,JL-0036,CNT-003,2026-04-25,View,Weekend,1
CI-000932,JL-0036,CNT-007,2026-05-17,View,Unknown,4
CI-000933,JL-0036,CNT-001,2026-02-17,Complete,Evening,2
CI-000934,JL-0036,CNT-003,2026-04-30,Dismiss,Evening,4
CI-000935,JL-0036,CNT-001,2026-03-13,Share,Evening,2
CI-000936,JL-0036,CNT-001,2026-06-02,View,Unknown,3
CI-000937,JL-0036,CNT-009,2026-04-30,View,Weekend,4
CI-000938,JL-0036,CNT-009,2026-02-26,View,Morning,5
CI-000939,JL-0037,CNT-008,2026-05-06,View,Midday,2
CI-000940,JL-0037,CNT-002,2026-05-05,Complete,Midday,4
CI-000941,JL-0037,CNT-007,2026-05-04,Complete,Evening,3
CI-000942,JL-0037,CNT-007,2026-03-26,Complete,Unknown,2
CI-000943,JL-0037,CNT-003,2026-06-01,View,Morning,3
CI-000944,JL-0037,CNT-002,2026-05-14,View,Midday,1
CI-000945,JL-0037,CNT-008,2026-02-19,View,Weekend,2
CI-000946,JL-0037,CNT-002,2026-04-04,View,Unknown,3
CI-000947,JL-0037,CNT-002,2026-04-26,Save,Weekend,4
CI-000948,JL-0037,CNT-008,2026-05-16,View,Evening,1
CI-000949,JL-0037,CNT-009,2026-03-16,Dismiss,Unknown,3
CI-000950,JL-0038,CNT-005,2026-05-07,Complete,Weekend,4
CI-000951,JL-0038,CNT-009,2026-05-01,View,Evening,2
CI-000952,JL-0038,CNT-001,2026-02-10,View,Unknown,4
CI-000953,JL-0038,CNT-009,2026-03-04,View,Weekend,2
CI-000954,JL-0038,CNT-001,2026-04-18,Save,Midday,4
CI-000955,JL-0038,CNT-001,2026-05-03,Save,Evening,3
CI-000956,JL-0038,CNT-006,2026-05-06,View,Unknown,3
CI-000957,JL-0038,CNT-002,2026-02-23,Complete,Midday,3
CI-000958,JL-0038,CNT-009,2026-04-19,View,Unknown,1
CI-000959,JL-0038,CNT-009,2026-02-19,View,Weekend,2
CI-000960,JL-0039,CNT-005,2026-03-06,Complete,Unknown,2
CI-000961,JL-0039,CNT-001,2026-04-16,View,Weekend,3
CI-000962,JL-0039,CNT-005,2026-03-12,Dismiss,Morning,3
CI-000963,JL-0039,CNT-001,2026-04-13,View,Unknown,2
CI-000964,JL-0039,CNT-009,2026-05-30,View,Evening,2
CI-000965,JL-0039,CNT-009,2026-02-24,Complete,Weekend,3
CI-000966,JL-0039,CNT-001,2026-04-21,View,Midday,4
CI-000967,JL-0039,CNT-009,2026-02-28,Save,Weekend,4
CI-000968,JL-0039,CNT-002,2026-03-27,Save,Evening,3
CI-000969,JL-0039,CNT-001,2026-06-04,View,Weekend,2
CI-000970,JL-0039,CNT-001,2026-05-25,View,Evening,4
CI-000971,JL-0039,CNT-007,2026-05-23,View,Evening,2
CI-000972,JL-0039,CNT-008,2026-03-09,Save,Unknown,5
CI-000973,JL-0039,CNT-007,2026-02-27,Save,Morning,3
CI-000974,JL-0039,CNT-005,2026-05-23,View,Unknown,2
CI-000975,JL-0039,CNT-005,2026-02-26,Complete,Weekend,2
CI-000976,JL-0039,CNT-001,2026-05-03,Save,Midday,2
CI-000977,JL-0039,CNT-001,2026-05-30,View,Evening,4
CI-000978,JL-0039,CNT-005,2026-02-22,View,Morning,3
CI-000979,JL-0039,CNT-005,2026-05-19,View,Weekend,2
CI-000980,JL-0039,CNT-009,2026-05-14,Complete,Weekend,3
CI-000981,JL-0040,CNT-001,2026-05-10,View,Evening,4
CI-000982,JL-0040,CNT-009,2026-02-10,View,Weekend,1
CI-000983,JL-0040,CNT-009,2026-02-25,View,Unknown,2
CI-000984,JL-0040,CNT-006,2026-04-25,Save,Unknown,3
CI-000985,JL-0040,CNT-006,2026-06-03,View,Weekend,4
CI-000986,JL-0040,CNT-006,2026-05-04,Complete,Unknown,2
CI-000987,JL-0040,CNT-009,2026-03-10,Complete,Morning,4
CI-000988,JL-0040,CNT-001,2026-05-05,View,Midday,2
CI-000989,JL-0040,CNT-009,2026-03-29,Complete,Midday,4
CI-000990,JL-0040,CNT-009,2026-02-10,Complete,Morning,2
CI-000991,JL-0040,CNT-009,2026-05-26,View,Morning,3
CI-000992,JL-0040,CNT-009,2026-03-13,Save,Weekend,2
CI-000993,JL-0040,CNT-009,2026-04-27,View,Midday,1
CI-000994,JL-0040,CNT-001,2026-06-04,View,Morning,4
CI-000995,JL-0040,CNT-006,2026-05-20,Save,Weekend,3
CI-000996,JL-0040,CNT-002,2026-04-13,Save,Morning,4
CI-000997,JL-0040,CNT-009,2026-02-28,Save,Weekend,3
CI-000998,JL-0041,CNT-006,2026-02-10,View,Weekend,4
CI-000999,JL-0041,CNT-009,2026-05-16,Share,Midday,3
CI-001000,JL-0041,CNT-010,2026-05-04,Search,Midday,4
CI-001001,JL-0041,CNT-005,2026-02-19,Search,Morning,4
CI-001002,JL-0041,CNT-006,2026-05-12,Complete,Weekend,3
CI-001003,JL-0042,CNT-001,2026-05-15,View,Evening,1
CI-001004,JL-0042,CNT-010,2026-02-23,Complete,Evening,1
CI-001005,JL-0042,CNT-006,2026-03-04,Save,Weekend,4
CI-001006,JL-0042,CNT-009,2026-05-24,Dismiss,Unknown,1
CI-001007,JL-0042,CNT-009,2026-05-13,Dismiss,Evening,4
CI-001008,JL-0042,CNT-001,2026-05-16,Complete,Evening,2
CI-001009,JL-0042,CNT-001,2026-03-25,Search,Morning,1
CI-001010,JL-0042,CNT-001,2026-03-22,Complete,Morning,2
CI-001011,JL-0042,CNT-009,2026-04-01,Search,Midday,3
CI-001012,JL-0042,CNT-009,2026-05-31,Save,Unknown,4
CI-001013,JL-0042,CNT-009,2026-03-11,Dismiss,Evening,5
CI-001014,JL-0042,CNT-004,2026-06-06,View,Weekend,1
CI-001015,JL-0042,CNT-006,2026-05-08,Complete,Unknown,5
CI-001016,JL-0042,CNT-001,2026-04-24,View,Weekend,2
CI-001017,JL-0042,CNT-009,2026-03-23,View,Evening,4
CI-001018,JL-0042,CNT-009,2026-04-15,View,Weekend,2
CI-001019,JL-0042,CNT-008,2026-04-01,Complete,Evening,3
CI-001020,JL-0042,CNT-001,2026-03-10,Dismiss,Midday,3
CI-001021,JL-0043,CNT-004,2026-06-03,View,Weekend,3
CI-001022,JL-0043,CNT-005,2026-05-07,View,Morning,3
CI-001023,JL-0043,CNT-008,2026-02-26,Save,Unknown,2
CI-001024,JL-0043,CNT-010,2026-05-30,View,Unknown,5
CI-001025,JL-0043,CNT-004,2026-06-03,View,Weekend,2
CI-001026,JL-0043,CNT-010,2026-04-16,Complete,Morning,4
CI-001027,JL-0043,CNT-010,2026-03-15,Complete,Morning,4
CI-001028,JL-0043,CNT-010,2026-02-14,Search,Evening,3
CI-001029,JL-0043,CNT-005,2026-02-12,Complete,Evening,5
CI-001030,JL-0043,CNT-004,2026-03-03,Share,Unknown,4
CI-001031,JL-0043,CNT-005,2026-03-18,Complete,Midday,2
CI-001032,JL-0044,CNT-008,2026-03-17,Dismiss,Morning,2
CI-001033,JL-0044,CNT-005,2026-06-02,View,Evening,5
CI-001034,JL-0044,CNT-010,2026-04-04,Save,Midday,4
CI-001035,JL-0044,CNT-005,2026-03-09,View,Unknown,4
CI-001036,JL-0044,CNT-002,2026-02-10,View,Evening,4
CI-001037,JL-0044,CNT-004,2026-06-02,View,Evening,4
CI-001038,JL-0044,CNT-002,2026-04-13,Save,Morning,5
CI-001039,JL-0044,CNT-008,2026-03-19,Complete,Evening,1
CI-001040,JL-0044,CNT-005,2026-03-11,Save,Unknown,3
CI-001041,JL-0044,CNT-007,2026-04-08,Complete,Midday,4
CI-001042,JL-0044,CNT-005,2026-05-06,View,Midday,1
CI-001043,JL-0044,CNT-005,2026-03-22,Save,Evening,1
CI-001044,JL-0044,CNT-007,2026-05-26,View,Evening,2
CI-001045,JL-0044,CNT-002,2026-05-18,Complete,Midday,3
CI-001046,JL-0044,CNT-010,2026-04-13,View,Weekend,2
CI-001047,JL-0044,CNT-010,2026-05-25,Save,Morning,2
CI-001048,JL-0044,CNT-005,2026-02-15,Search,Midday,5
CI-001049,JL-0044,CNT-002,2026-03-28,View,Evening,4
CI-001050,JL-0044,CNT-002,2026-05-22,Search,Unknown,1
CI-001051,JL-0044,CNT-002,2026-05-11,Save,Unknown,2
CI-001052,JL-0044,CNT-005,2026-05-13,Complete,Weekend,4
CI-001053,JL-0044,CNT-008,2026-05-29,Complete,Midday,2
CI-001054,JL-0044,CNT-002,2026-04-11,View,Morning,4
CI-001055,JL-0044,CNT-008,2026-02-28,View,Unknown,4
CI-001056,JL-0044,CNT-005,2026-05-16,Complete,Evening,3
CI-001057,JL-0044,CNT-005,2026-06-02,Complete,Unknown,3
CI-001058,JL-0044,CNT-002,2026-05-26,View,Morning,2
CI-001059,JL-0044,CNT-002,2026-03-27,Save,Evening,4
CI-001060,JL-0044,CNT-008,2026-04-18,Search,Midday,3
CI-001061,JL-0045,CNT-007,2026-04-18,Save,Unknown,3
CI-001062,JL-0045,CNT-003,2026-02-17,Share,Evening,3
CI-001063,JL-0045,CNT-007,2026-04-25,Complete,Evening,2
CI-001064,JL-0045,CNT-007,2026-02-17,View,Weekend,5
CI-001065,JL-0045,CNT-010,2026-05-26,Complete,Midday,2
CI-001066,JL-0045,CNT-007,2026-02-28,Complete,Evening,5
CI-001067,JL-0045,CNT-007,2026-06-02,View,Evening,4
CI-001068,JL-0045,CNT-010,2026-04-08,View,Weekend,3
CI-001069,JL-0045,CNT-003,2026-05-22,Complete,Evening,2
CI-001070,JL-0045,CNT-005,2026-02-11,Complete,Evening,2
CI-001071,JL-0045,CNT-001,2026-04-13,Save,Midday,5
CI-001072,JL-0045,CNT-004,2026-05-07,Complete,Unknown,5
CI-001073,JL-0045,CNT-004,2026-03-28,View,Morning,5
CI-001074,JL-0045,CNT-007,2026-03-18,Save,Weekend,2
CI-001075,JL-0045,CNT-010,2026-05-29,Save,Midday,3
CI-001076,JL-0045,CNT-004,2026-04-06,Save,Weekend,4
CI-001077,JL-0045,CNT-010,2026-03-02,View,Midday,2
CI-001078,JL-0045,CNT-009,2026-03-25,View,Unknown,3
CI-001079,JL-0045,CNT-010,2026-05-22,Save,Weekend,2
CI-001080,JL-0045,CNT-005,2026-05-19,View,Evening,2
CI-001081,JL-0045,CNT-004,2026-02-13,View,Midday,4
CI-001082,JL-0045,CNT-007,2026-03-24,Complete,Evening,2
CI-001083,JL-0045,CNT-004,2026-05-30,Complete,Evening,2
CI-001084,JL-0045,CNT-007,2026-02-13,View,Weekend,4
CI-001085,JL-0045,CNT-003,2026-03-12,Search,Evening,3
CI-001086,JL-0045,CNT-010,2026-05-30,Save,Unknown,3
CI-001087,JL-0046,CNT-010,2026-02-25,Search,Morning,1
CI-001088,JL-0046,CNT-006,2026-03-24,Complete,Morning,5
CI-001089,JL-0046,CNT-002,2026-05-07,Dismiss,Evening,4
CI-001090,JL-0046,CNT-009,2026-04-24,Complete,Weekend,5
CI-001091,JL-0046,CNT-001,2026-05-04,Complete,Midday,4
CI-001092,JL-0046,CNT-009,2026-05-27,View,Evening,2
CI-001093,JL-0046,CNT-001,2026-06-04,View,Morning,4
CI-001094,JL-0046,CNT-007,2026-04-09,Save,Evening,2
CI-001095,JL-0046,CNT-003,2026-03-25,Complete,Evening,4
CI-001096,JL-0046,CNT-009,2026-02-19,View,Midday,3
CI-001097,JL-0046,CNT-009,2026-03-06,View,Evening,1
CI-001098,JL-0046,CNT-006,2026-04-23,View,Evening,4
CI-001099,JL-0046,CNT-001,2026-04-05,Dismiss,Weekend,4
CI-001100,JL-0046,CNT-009,2026-04-17,Save,Midday,2
CI-001101,JL-0046,CNT-001,2026-03-22,Complete,Evening,2
CI-001102,JL-0046,CNT-009,2026-06-02,View,Evening,2
CI-001103,JL-0046,CNT-009,2026-02-21,Share,Weekend,5
CI-001104,JL-0046,CNT-001,2026-05-06,Search,Morning,4
CI-001105,JL-0046,CNT-006,2026-05-04,View,Morning,4
CI-001106,JL-0046,CNT-006,2026-03-31,View,Morning,3
CI-001107,JL-0046,CNT-001,2026-02-27,View,Morning,1
CI-001108,JL-0046,CNT-007,2026-03-15,View,Morning,4
CI-001109,JL-0047,CNT-006,2026-02-13,View,Midday,3
CI-001110,JL-0047,CNT-008,2026-05-24,View,Unknown,5
CI-001111,JL-0047,CNT-006,2026-03-03,Search,Evening,1
CI-001112,JL-0047,CNT-006,2026-04-13,View,Midday,3
CI-001113,JL-0047,CNT-008,2026-03-31,View,Weekend,5
CI-001114,JL-0047,CNT-008,2026-02-18,Save,Weekend,4
CI-001115,JL-0047,CNT-001,2026-03-15,Complete,Unknown,3
CI-001116,JL-0047,CNT-006,2026-04-25,View,Unknown,5
CI-001117,JL-0047,CNT-010,2026-03-12,Save,Midday,2
CI-001118,JL-0047,CNT-002,2026-04-26,Dismiss,Midday,4
CI-001119,JL-0047,CNT-002,2026-03-10,View,Unknown,2
CI-001120,JL-0047,CNT-002,2026-03-20,View,Weekend,3
CI-001121,JL-0047,CNT-003,2026-02-25,View,Midday,5
CI-001122,JL-0047,CNT-006,2026-03-01,View,Unknown,5
CI-001123,JL-0047,CNT-002,2026-02-12,View,Midday,1
CI-001124,JL-0047,CNT-002,2026-04-22,Share,Morning,5
CI-001125,JL-0047,CNT-006,2026-04-09,View,Unknown,3
CI-001126,JL-0047,CNT-002,2026-04-29,View,Morning,2
CI-001127,JL-0047,CNT-006,2026-03-08,Save,Unknown,4
CI-001128,JL-0047,CNT-002,2026-03-13,View,Midday,4
CI-001129,JL-0047,CNT-008,2026-06-02,Complete,Evening,2
CI-001130,JL-0047,CNT-006,2026-03-28,View,Unknown,2
CI-001131,JL-0047,CNT-004,2026-03-10,View,Unknown,5
CI-001132,JL-0047,CNT-002,2026-02-28,Complete,Midday,5
CI-001133,JL-0047,CNT-008,2026-06-02,Complete,Evening,3
CI-001134,JL-0047,CNT-004,2026-05-22,View,Evening,3
CI-001135,JL-0047,CNT-004,2026-02-08,Complete,Evening,4
CI-001136,JL-0047,CNT-004,2026-03-06,View,Midday,4
CI-001137,JL-0047,CNT-006,2026-02-08,View,Unknown,2
CI-001138,JL-0047,CNT-008,2026-04-14,Save,Weekend,2
CI-001139,JL-0047,CNT-002,2026-02-11,Search,Unknown,4
CI-001140,JL-0047,CNT-002,2026-04-11,Dismiss,Evening,3
CI-001141,JL-0047,CNT-003,2026-03-02,Complete,Evening,4
CI-001142,JL-0048,CNT-003,2026-04-19,View,Unknown,2
CI-001143,JL-0048,CNT-009,2026-05-22,View,Weekend,2
CI-001144,JL-0048,CNT-007,2026-05-03,Dismiss,Midday,2
CI-001145,JL-0048,CNT-008,2026-04-18,View,Midday,3
CI-001146,JL-0048,CNT-009,2026-03-25,Search,Evening,3
CI-001147,JL-0048,CNT-010,2026-02-18,View,Unknown,5
CI-001148,JL-0048,CNT-003,2026-02-08,View,Weekend,5
CI-001149,JL-0048,CNT-001,2026-05-24,View,Morning,5
CI-001150,JL-0048,CNT-003,2026-02-14,Share,Midday,2
CI-001151,JL-0048,CNT-005,2026-04-28,Complete,Midday,3
CI-001152,JL-0048,CNT-008,2026-03-22,View,Weekend,2
CI-001153,JL-0048,CNT-009,2026-06-02,Save,Unknown,1
CI-001154,JL-0048,CNT-003,2026-03-17,View,Morning,2
CI-001155,JL-0048,CNT-003,2026-02-28,View,Unknown,4
CI-001156,JL-0048,CNT-007,2026-03-01,View,Weekend,4
CI-001157,JL-0048,CNT-009,2026-05-23,View,Midday,1
CI-001158,JL-0048,CNT-008,2026-05-31,Complete,Morning,5
CI-001159,JL-0048,CNT-001,2026-05-28,View,Morning,3
CI-001160,JL-0048,CNT-003,2026-04-15,View,Morning,4
CI-001161,JL-0048,CNT-001,2026-02-08,View,Unknown,2
CI-001162,JL-0048,CNT-007,2026-04-27,View,Evening,1
CI-001163,JL-0049,CNT-003,2026-03-18,View,Unknown,3
CI-001164,JL-0049,CNT-002,2026-04-03,Save,Midday,3
CI-001165,JL-0049,CNT-002,2026-02-17,View,Weekend,2
CI-001166,JL-0049,CNT-008,2026-03-14,Save,Morning,2
CI-001167,JL-0049,CNT-007,2026-04-20,Save,Unknown,3
CI-001168,JL-0049,CNT-007,2026-03-12,View,Evening,1
CI-001169,JL-0049,CNT-007,2026-04-05,View,Evening,5
CI-001170,JL-0049,CNT-008,2026-03-28,View,Evening,2
CI-001171,JL-0049,CNT-003,2026-05-30,Dismiss,Morning,4
CI-001172,JL-0049,CNT-008,2026-03-06,View,Unknown,1
CI-001173,JL-0049,CNT-007,2026-02-09,Save,Unknown,4
CI-001174,JL-0049,CNT-003,2026-06-02,View,Morning,3
CI-001175,JL-0049,CNT-002,2026-04-19,Complete,Morning,3
CI-001176,JL-0049,CNT-004,2026-02-24,View,Morning,4
CI-001177,JL-0050,CNT-007,2026-02-08,View,Evening,4
CI-001178,JL-0050,CNT-009,2026-02-15,View,Evening,2
CI-001179,JL-0050,CNT-009,2026-06-01,Search,Evening,2
CI-001180,JL-0050,CNT-009,2026-04-29,Save,Weekend,1
CI-001181,JL-0050,CNT-010,2026-03-23,Complete,Midday,1
CI-001182,JL-0050,CNT-001,2026-05-03,View,Midday,4
CI-001183,JL-0050,CNT-006,2026-03-11,Dismiss,Morning,2
CI-001184,JL-0050,CNT-007,2026-03-08,Dismiss,Unknown,2
CI-001185,JL-0050,CNT-003,2026-04-06,View,Midday,1
CI-001186,JL-0050,CNT-003,2026-02-24,Complete,Unknown,3
CI-001187,JL-0050,CNT-002,2026-04-10,Complete,Evening,2
CI-001188,JL-0050,CNT-001,2026-03-16,Complete,Evening,4
CI-001189,JL-0050,CNT-007,2026-04-29,View,Evening,3
CI-001190,JL-0050,CNT-001,2026-05-03,View,Midday,4
CI-001191,JL-0050,CNT-001,2026-05-17,Dismiss,Midday,2
CI-001192,JL-0050,CNT-010,2026-04-09,Complete,Morning,5
CI-001193,JL-0050,CNT-003,2026-05-06,Share,Weekend,4
CI-001194,JL-0050,CNT-009,2026-06-07,View,Weekend,3
CI-001195,JL-0050,CNT-003,2026-05-02,View,Midday,2
CI-001196,JL-0050,CNT-003,2026-02-19,Search,Weekend,3
CI-001197,JL-0050,CNT-009,2026-03-02,View,Evening,2
CI-001198,JL-0050,CNT-007,2026-05-08,Save,Weekend,5
CI-001199,JL-0050,CNT-007,2026-04-11,Complete,Weekend,4
CI-001200,JL-0050,CNT-007,2026-03-22,Complete,Morning,2
CI-001201,JL-0050,CNT-001,2026-05-04,Complete,Evening,1
CI-001202,JL-0050,CNT-001,2026-03-12,Search,Midday,2
CI-001203,JL-0050,CNT-007,2026-03-19,View,Weekend,3
CI-001204,JL-0050,CNT-009,2026-05-02,Save,Unknown,3
CI-001205,JL-0050,CNT-007,2026-05-01,Dismiss,Morning,4
CI-001206,JL-0050,CNT-001,2026-05-07,View,Weekend,2
CI-001207,JL-0051,CNT-003,2026-06-03,Complete,Morning,2
CI-001208,JL-0051,CNT-005,2026-02-24,Complete,Weekend,4
CI-001209,JL-0051,CNT-001,2026-03-05,Save,Evening,4
CI-001210,JL-0051,CNT-010,2026-03-29,View,Midday,4
CI-001211,JL-0051,CNT-007,2026-03-22,View,Morning,4
CI-001212,JL-0051,CNT-005,2026-04-28,Complete,Weekend,2
CI-001213,JL-0051,CNT-007,2026-05-27,View,Midday,3
CI-001214,JL-0051,CNT-005,2026-03-26,Save,Unknown,1
CI-001215,JL-0051,CNT-007,2026-05-10,Complete,Weekend,3
CI-001216,JL-0051,CNT-003,2026-04-17,Save,Midday,5
CI-001217,JL-0051,CNT-003,2026-05-13,Save,Unknown,3
CI-001218,JL-0051,CNT-005,2026-02-10,Search,Evening,4
CI-001219,JL-0051,CNT-007,2026-03-31,View,Evening,4
CI-001220,JL-0051,CNT-001,2026-04-16,View,Midday,3
CI-001221,JL-0051,CNT-007,2026-03-17,View,Morning,4
CI-001222,JL-0051,CNT-005,2026-06-06,Save,Midday,3
CI-001223,JL-0052,CNT-006,2026-03-20,View,Unknown,3
CI-001224,JL-0052,CNT-003,2026-05-05,Share,Unknown,4
CI-001225,JL-0052,CNT-005,2026-02-28,Complete,Morning,1
CI-001226,JL-0052,CNT-005,2026-06-07,View,Unknown,2
CI-001227,JL-0052,CNT-008,2026-02-20,Search,Morning,4
CI-001228,JL-0052,CNT-005,2026-02-19,Save,Unknown,3
CI-001229,JL-0052,CNT-006,2026-05-03,Share,Unknown,5
CI-001230,JL-0052,CNT-005,2026-03-29,Complete,Midday,2
CI-001231,JL-0052,CNT-006,2026-05-20,View,Evening,2
CI-001232,JL-0052,CNT-006,2026-03-29,Complete,Weekend,2
CI-001233,JL-0052,CNT-006,2026-04-11,View,Evening,5
CI-001234,JL-0052,CNT-006,2026-04-14,View,Morning,2
CI-001235,JL-0052,CNT-005,2026-02-23,View,Weekend,5
CI-001236,JL-0052,CNT-005,2026-02-08,Search,Weekend,4
CI-001237,JL-0053,CNT-005,2026-04-10,Save,Weekend,2
CI-001238,JL-0053,CNT-010,2026-04-11,Complete,Morning,2
CI-001239,JL-0053,CNT-004,2026-03-15,View,Weekend,2
CI-001240,JL-0053,CNT-005,2026-05-11,Save,Midday,4
CI-001241,JL-0053,CNT-010,2026-05-29,Search,Morning,3
CI-001242,JL-0054,CNT-010,2026-03-18,View,Unknown,4
CI-001243,JL-0054,CNT-003,2026-02-19,Save,Morning,5
CI-001244,JL-0054,CNT-003,2026-05-26,Save,Morning,5
CI-001245,JL-0054,CNT-007,2026-04-11,Save,Unknown,2
CI-001246,JL-0054,CNT-007,2026-03-09,View,Morning,2
CI-001247,JL-0054,CNT-003,2026-03-01,View,Morning,5
CI-001248,JL-0054,CNT-003,2026-04-27,Dismiss,Weekend,3
CI-001249,JL-0054,CNT-010,2026-04-24,Complete,Morning,2
CI-001250,JL-0054,CNT-004,2026-05-08,View,Morning,3
CI-001251,JL-0054,CNT-004,2026-03-21,View,Midday,3
CI-001252,JL-0054,CNT-003,2026-05-02,Complete,Unknown,3
CI-001253,JL-0054,CNT-006,2026-03-29,View,Morning,4
CI-001254,JL-0054,CNT-007,2026-02-11,Complete,Midday,3
CI-001255,JL-0054,CNT-004,2026-03-12,Search,Weekend,2
CI-001256,JL-0054,CNT-010,2026-04-07,View,Midday,4
CI-001257,JL-0054,CNT-002,2026-04-29,Save,Morning,4
CI-001258,JL-0054,CNT-003,2026-02-18,View,Morning,5
CI-001259,JL-0054,CNT-004,2026-06-02,Complete,Morning,1
CI-001260,JL-0054,CNT-010,2026-03-09,View,Weekend,5
CI-001261,JL-0054,CNT-008,2026-03-28,Share,Morning,5
CI-001262,JL-0054,CNT-002,2026-04-17,View,Midday,4
CI-001263,JL-0055,CNT-010,2026-04-10,View,Midday,5
CI-001264,JL-0055,CNT-003,2026-04-11,Share,Morning,2
CI-001265,JL-0055,CNT-004,2026-04-23,Save,Weekend,2
CI-001266,JL-0055,CNT-007,2026-02-28,Save,Midday,5
CI-001267,JL-0055,CNT-004,2026-05-14,Save,Morning,5
CI-001268,JL-0055,CNT-004,2026-04-08,Share,Morning,1
CI-001269,JL-0055,CNT-003,2026-03-25,Share,Unknown,2
CI-001270,JL-0055,CNT-004,2026-03-24,Save,Weekend,4
CI-001271,JL-0055,CNT-010,2026-02-11,Save,Weekend,2
CI-001272,JL-0055,CNT-004,2026-02-08,View,Evening,2
CI-001273,JL-0056,CNT-005,2026-04-21,View,Weekend,3
CI-001274,JL-0056,CNT-006,2026-04-17,View,Midday,2
CI-001275,JL-0056,CNT-006,2026-02-22,Complete,Midday,3
CI-001276,JL-0056,CNT-006,2026-04-27,Complete,Morning,2
CI-001277,JL-0056,CNT-005,2026-05-01,View,Midday,1
CI-001278,JL-0056,CNT-010,2026-04-24,View,Unknown,3
CI-001279,JL-0056,CNT-005,2026-02-10,Save,Weekend,4
CI-001280,JL-0056,CNT-006,2026-05-27,Dismiss,Unknown,3
CI-001281,JL-0056,CNT-002,2026-04-19,Save,Midday,2
CI-001282,JL-0056,CNT-005,2026-04-03,Save,Unknown,1
CI-001283,JL-0056,CNT-005,2026-04-06,Dismiss,Evening,3
CI-001284,JL-0056,CNT-009,2026-04-11,View,Unknown,4
CI-001285,JL-0056,CNT-006,2026-05-18,Dismiss,Evening,4
CI-001286,JL-0056,CNT-005,2026-04-20,Dismiss,Midday,4
CI-001287,JL-0056,CNT-006,2026-02-19,View,Midday,2
CI-001288,JL-0056,CNT-005,2026-05-14,View,Midday,1
CI-001289,JL-0056,CNT-006,2026-05-21,Dismiss,Morning,4
CI-001290,JL-0056,CNT-005,2026-03-11,View,Weekend,4
CI-001291,JL-0056,CNT-005,2026-06-05,View,Midday,5
CI-001292,JL-0056,CNT-005,2026-03-16,Save,Morning,2
CI-001293,JL-0056,CNT-004,2026-03-26,Dismiss,Evening,4
CI-001294,JL-0056,CNT-006,2026-03-20,View,Midday,2
CI-001295,JL-0056,CNT-010,2026-05-01,Save,Weekend,3
CI-001296,JL-0056,CNT-006,2026-05-14,Share,Morning,4
CI-001297,JL-0056,CNT-005,2026-04-02,Save,Unknown,2
CI-001298,JL-0056,CNT-006,2026-04-30,Save,Morning,4
CI-001299,JL-0056,CNT-005,2026-05-20,View,Evening,2
CI-001300,JL-0056,CNT-005,2026-03-17,Complete,Midday,2
CI-001301,JL-0057,CNT-010,2026-03-07,View,Evening,5
CI-001302,JL-0057,CNT-005,2026-04-07,Complete,Morning,4
CI-001303,JL-0057,CNT-006,2026-04-03,View,Midday,1
CI-001304,JL-0057,CNT-006,2026-05-27,View,Morning,1
CI-001305,JL-0057,CNT-005,2026-03-12,View,Weekend,5
CI-001306,JL-0057,CNT-006,2026-05-21,View,Midday,3
CI-001307,JL-0057,CNT-005,2026-04-15,Complete,Evening,2
CI-001308,JL-0057,CNT-005,2026-05-12,Save,Midday,2
CI-001309,JL-0057,CNT-005,2026-03-31,Search,Evening,3
CI-001310,JL-0058,CNT-009,2026-03-08,View,Evening,3
CI-001311,JL-0058,CNT-010,2026-04-14,View,Unknown,3
CI-001312,JL-0058,CNT-009,2026-05-18,View,Weekend,4
CI-001313,JL-0058,CNT-005,2026-05-27,View,Midday,3
CI-001314,JL-0058,CNT-009,2026-02-18,View,Weekend,3
